food_name,potassium,phosphorus,protein,sodium
"Hummus, commercial",289.0,166.0,7.35,438.0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",159.0,103.0,3.35,39.0
"Tomatoes, grape, raw",260.0,28.0,0.83,6.0
"Beans, snap, green, canned, regular pack, drained solids",97.0,23.0,1.04,282.0
"Broccoli, raw",303.0,67.0,2.57,36.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",159.0,103.0,3.38,39.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",167.0,107.0,3.43,41.0
"Milk, whole, 3.25% milkfat, with added vitamin D",150.0,101.0,3.28,38.0
"Frankfurter, beef, unheated",343.0,128.0,11.7,872.0
"Nuts, almonds, dry roasted, with salt added",684.0,456.0,20.4,256.0
"Cheese, ricotta, whole milk",230.0,162.0,7.81,105.0
"Kale, raw",348.0,55.0,2.92,53.0
"Egg, whole, raw, frozen, pasteurized",117.0,189.0,12.3,121.0
"Egg, white, raw, frozen, pasteurized",130.0,0.0,10.1,144.0
"Egg, white, dried",959.0,107.0,79.9,1250.0
"Sauce, salsa, ready-to-serve",258.0,32.0,1.44,656.0
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",263.0,124.0,13.3,866.0
"Onion rings, breaded, par fried, frozen, prepared, heated in oven",135.0,75.0,4.52,374.0
"Pickles, cucumber, dill or kosher dill",112.0,16.0,0.48,808.0
"Peanut butter, smooth style, with salt",564.0,339.0,22.5,429.0
"Cheese, parmesan, grated",184.0,634.0,29.6,1750.0
"Cheese, pasteurized process, American, vitamin D fortified",149.0,540.0,18.0,1660.0
"Grapefruit juice, white, canned or bottled, unsweetened",141.0,17.0,0.55,1.0
"Peaches, yellow, raw",122.0,22.0,0.91,13.0
"Seeds, sunflower seed kernels, dry roasted, with salt added",689.0,750.0,21.0,532.0
"Sausage, Italian, pork, mild, cooked, pan-fried",310.0,145.0,18.2,766.0
"Bread, white, commercially prepared",117.0,113.0,9.43,477.0
"Sausage, turkey, breakfast links, mild, raw",310.0,178.0,16.7,599.0
"Cheese, swiss",71.0,574.0,27.0,185.0
"Kale, frozen, cooked, boiled, drained, without salt",144.0,42.0,2.94,16.0
"Carrots, frozen, unprepared (Includes foods for USDA's Food Distribution Program)",210.0,31.0,0.81,66.0
"Mustard, prepared, yellow",150.0,108.0,4.25,1100.0
"Figs, dried, uncooked",680.0,67.0,3.3,10.0
"Kiwifruit, green, raw",198.0,34.0,1.06,5.0
"Melons, cantaloupe, raw",157.0,17.0,0.82,30.0
"Nectarines, raw",131.0,26.0,1.06,13.0
"Oranges, raw, navels (Includes foods for USDA's Food Distribution Program)",166.0,23.0,0.91,9.0
"Strawberries, raw",89.0,20.0,0.64,10.0
"Cheese, cheddar",77.0,458.0,23.3,654.0
"Cheese, cottage, lowfat, 2% milkfat",120.0,148.0,11.0,321.0
"Cheese, mozzarella, low moisture, part-skim",116.0,533.0,23.7,699.0
"Egg, whole, dried",468.0,770.0,48.1,485.0
"Egg, yolk, raw, frozen, pasteurized",102.0,443.0,15.6,66.0
"Egg, yolk, dried",231.0,982.0,34.2,149.0
"Cheese, dry white, queso seco",116.0,475.0,24.5,1810.0
"Yogurt, Greek, plain, nonfat",141.0,136.0,10.3,36.0
"Yogurt, Greek, strawberry, nonfat",133.0,113.0,8.06,32.0
"Oil, coconut",0.0,0.0,0.0,0.0
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",304.0,259.0,27.1,90.0
"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",239.0,184.0,23.9,117.0
"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",343.0,241.0,32.1,47.0
"Sauce, pasta, spaghetti/marinara, ready-to-serve",319.0,34.0,1.41,419.0
"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",425.0,261.0,16.7,1040.0
"Pears, raw, bartlett (Includes foods for USDA's Food Distribution Program)",87.0,10.0,0.38,7.0
"Olives, green, Manzanilla, stuffed with pimiento",43.0,7.0,1.15,1620.0
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",435.0,207.0,19.3,983.0
"Cookies, oatmeal, soft, with raisins",245.0,111.0,5.79,314.0
"Tomatoes, canned, red, ripe, diced",198.0,18.0,0.84,125.0
"Fish, haddock, raw",286.0,227.0,16.3,213.0
"Fish, pollock, raw",160.0,284.0,12.3,333.0
"Fish, tuna, light, canned in water, drained solids",176.0,137.0,19.0,219.0
"Sugars, granulated",2.0,0.0,0.0,1.0
"Restaurant, Chinese, sweet and sour pork",152.0,133.0,8.88,304.0
"Restaurant, Chinese, fried rice, without meat",69.0,44.0,3.84,361.0
"Restaurant, Latino, tamale, pork",152.0,120.0,7.38,473.0
"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",305.0,144.0,5.59,305.0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",282.0,206.0,22.8,45.0
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",352.0,259.0,27.7,54.0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",312.0,222.0,23.4,50.0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",316.0,220.0,23.7,55.0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",283.0,211.0,27.3,67.0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",266.0,200.0,22.7,43.0
"Bread, whole-wheat, commercially prepared",250.0,212.0,12.3,450.0
"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",352.0,259.0,27.7,54.0
"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",282.0,206.0,22.8,45.0
"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",312.0,222.0,23.4,50.0
"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",316.0,220.0,23.7,55.0
"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",266.0,200.0,22.7,43.0
"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",283.0,211.0,27.3,67.0
"Carrots, frozen, unprepared",210.0,31.0,0.81,66.0
"Cheese, dry white, queso seco",116.0,475.0,24.5,1810.0
"Cheese, ricotta, whole milk",230.0,162.0,7.81,105.0
"Cheese, swiss",71.0,574.0,27.0,185.0
"Figs, dried, uncooked",680.0,67.0,3.3,10.0
"Melons, cantaloupe, raw",157.0,17.0,0.82,30.0
"Oranges, raw, navels",166.0,23.0,0.91,9.0
"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",159.0,103.0,3.38,39.0
"Pears, raw, bartlett",87.0,10.0,0.38,7.0
"Restaurant, Chinese, sweet and sour pork",152.0,133.0,8.88,304.0
"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",167.0,107.0,3.43,41.0
"Sauce, salsa, ready-to-serve",258.0,32.0,1.44,656.0
"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",159.0,103.0,3.36,39.0
"Sausage, breakfast sausage, beef, pre-cooked, unprepared",263.0,124.0,13.3,866.0
"Sausage, Italian, pork, mild, cooked, pan-fried",310.0,145.0,18.2,766.0
"Sausage, pork, chorizo, link or ground, cooked, pan-fried",435.0,207.0,19.3,983.0
"Milk, whole, 3.25% milkfat, with added vitamin D",150.0,101.0,3.27,38.0
"Sausage, turkey, breakfast links, mild, raw",310.0,178.0,16.7,599.0
"Sugars, granulated",2.0,0.0,0.0,1.0
"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",304.0,259.0,27.1,90.0
"Ham, sliced, restaurant",484.0,246.0,19.6,1030.0
"Cheese, American, restaurant",173.0,380.0,17.5,1600.0
"Broccoli, raw",303.0,67.0,2.57,36.0
"Strawberries, raw",89.0,20.0,0.64,10.0
"Ketchup, restaurant",249.0,25.0,1.11,949.0
"Eggs, Grade A, Large, egg whole",132.0,184.0,12.4,129.0
"Pork, cured, bacon, cooked, restaurant",557.0,415.0,40.9,1830.0
"Flour, wheat, all-purpose, enriched, bleached",136.0,108.0,10.9,2.0
"Flour, wheat, all-purpose, enriched, unbleached",135.0,115.0,13.1,4.0
"Flour, wheat, all-purpose, unenriched, unbleached",150.0,134.0,12.0,2.0
"Flour, whole wheat, unenriched",376.0,352.0,15.1,3.0
"Flour, bread, white, enriched, unbleached",127.0,124.0,14.3,3.0
"Flour, rice, white, unenriched",75.0,94.0,6.94,5.0
"Flour, corn, yellow, fine meal, enriched",144.0,92.0,6.2,0.0
"Onions, red, raw",197.0,41.0,0.94,1.0
"Onions, yellow, raw",182.0,34.0,0.83,1.0
"Bananas, ripe and slightly ripe, raw",326.0,22.0,0.74,0.0
"Flour, soy, defatted",2480.0,726.0,51.1,2.0
"Flour, soy, full-fat",1860.0,607.0,38.6,2.0
"Flour, rice, brown",265.0,319.0,7.19,1.0
"Flour, rice, glutinous",80.0,63.0,6.69,6.0
"Flour, pastry, unenriched, unbleached",142.0,102.0,8.75,1.0
"Onions, white, raw",141.0,29.0,0.89,2.0
"Bananas, ripe and slightly ripe, raw",326.0,22.0,0.74,0.0
"Apples, red delicious, with skin, raw",95.0,9.0,0.19,0.0
"Apples, honeycrisp, with skin, raw",98.0,8.0,0.1,0.0
"Apples, granny smith, with skin, raw",116.0,10.0,0.27,0.0
"Apples, gala, with skin, raw",106.0,8.0,0.13,0.0
"Apples, fuji, with skin, raw",104.0,10.0,0.15,1.0
"Soy milk, unsweetened, plain, shelf stable",158.2,68.65,3.546875,34.28
"Almond milk, unsweetened, plain, shelf stable",30.79,29.85,0.5546875,59.58
"Apples, red delicious, with skin, raw",95.31,9.183,0.1875,0.0
"Apples, fuji, with skin, raw",103.8,9.78,0.1484375,1.013
"Apples, gala, with skin, raw",105.9,8.435,0.1328125,0.2788
"Apples, granny smith, with skin, raw",115.9,9.859,0.265625,0.0
"Apples, honeycrisp, with skin, raw",98.04,7.852,0.1015625,0.1375
"Mushroom, lion's mane",443.3,93.95,2.5,0.3363
"Mushroom, oyster",281.6,86.24,2.89875,1.128
"Mushrooms, shiitake",243.0,75.82,2.414375,0.9363
"Mushrooms, white button",373.0,93.05,2.890625,6.443
"Spinach, baby",581.8,39.05,2.851875,111.4
"Spinach, mature",459.7,40.56,2.90625,106.6
"Tomato, roma",192.8,19.09,0.695625,0.0
"Mushroom, lion's mane",443.3,93.95,2.5,0.3363
"Mushroom, oyster",281.6,86.24,2.89875,1.128
"Mushrooms, shiitake",243.0,75.82,2.414375,0.9363
"Mushrooms, white button",373.0,93.05,2.890625,6.443
"Soy milk, unsweetened, plain, shelf stable",158.2,68.65,3.546875,34.28
"Almond milk, unsweetened, plain, shelf stable",30.79,29.85,0.5546875,59.58
"Spinach, baby",581.8,39.05,2.851875,111.4
"Spinach, mature",459.7,40.56,2.90625,106.6
"Tomato, roma",192.8,19.09,0.695625,0.0
"Flour, 00",135.5,106.2,11.4,0.0
"Flour, spelt, whole grain",349.8,361.7,14.475,0.0
