shap_potassium,shap_phosphorus,shap_protein_per_kg,shap_sodium,shap_potassium_ratio,shap_phosphorus_ratio,shap_protein_ratio,shap_sodium_ratio,shap_ckd_stage_encoded,top_feature
-0.054110512,-0.03942334,-0.22340567,-1.9961786,-0.09416519,-3.236348,-1.1747447,0.0,0.0,phosphorus_ratio
-0.027428612,-0.04209473,-0.3971598,1.6879132,-0.06338108,-4.363767,-1.2350652,0.0,0.0,phosphorus_ratio
-0.027428612,-0.044235975,-0.4084974,1.8022944,-0.063048914,-4.511769,-1.2166638,0.0,0.0,phosphorus_ratio
-0.017324002,0.03460632,-0.33541474,2.342916,-0.018758124,3.4564517,-1.25294,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.5257665,2.0310402,0.072069176,2.6137035,1.1321263,0.0,0.0,phosphorus_ratio
-0.003010336,-0.01504637,0.33315328,2.1015956,4.337076e-05,1.0117234,0.21852405,0.0,0.0,sodium
0.3857975,-0.03942334,-0.19635141,-1.8264972,0.14118463,-3.5767105,-1.1150308,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-0.032026064,-0.042618237,-0.31998146,1.8311222,-0.06465554,-4.579928,-0.99316365,0.0,0.0,phosphorus_ratio
-0.0016917165,0.014130451,0.5080168,2.065774,0.065753594,2.588498,1.23931,0.0,0.0,phosphorus_ratio
-0.003965956,0.014130451,0.5080168,2.1021154,-0.055931177,2.6097717,1.2659938,0.0,0.0,phosphorus_ratio
0.0008541432,0.014130451,0.5504985,2.0732477,0.03799268,2.6325688,1.170499,0.0,0.0,phosphorus_ratio
-0.054110512,-0.03942334,-0.22966573,-1.98365,-0.09416519,-3.2308605,-1.1865008,0.0,0.0,phosphorus_ratio
-0.04836551,0.0028080908,-0.0096188,2.2058032,-0.07059334,2.9890864,-0.714207,0.0,0.0,phosphorus_ratio
-0.0016917165,0.014130451,0.5388629,2.1028595,0.002044377,2.6391082,1.2027924,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-0.0375472,-0.012991301,-0.0014824597,1.9780909,-0.055931177,2.555658,1.3828876,0.0,0.0,phosphorus_ratio
-0.02653189,-0.019979563,1.7671174,2.998274,-0.05347159,-3.400282,1.7339838,0.0,0.0,phosphorus_ratio
-0.053445123,-0.040685177,-0.27006772,-1.9782938,-0.09416519,-3.1881466,-1.1935722,0.0,0.0,phosphorus_ratio
0.64224476,0.023224982,-0.34044248,-2.93112,0.12581605,2.817661,-1.8410581,0.0,0.0,sodium
-0.027304787,-0.044666648,-0.46159843,1.7966313,-0.063048914,-4.432675,-1.2366865,0.0,0.0,phosphorus_ratio
-0.00054101716,0.039213363,0.5462908,2.100933,0.029471552,2.3678062,1.2544198,0.0,0.0,phosphorus_ratio
-0.053445123,-0.040685177,-0.26380768,-1.9999912,-0.09416519,-3.1907072,-1.1876701,0.0,0.0,phosphorus_ratio
0.0007932626,0.014130451,0.49486026,2.0548677,0.072069176,2.6062675,1.2368029,0.0,0.0,phosphorus_ratio
0.16983457,-0.040685177,-0.26534218,-1.834421,0.11331129,-3.5992734,-1.1281805,0.0,0.0,phosphorus_ratio
-0.0016917165,0.014130451,0.5461201,2.1098692,-0.0063650017,2.6244607,1.1848582,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-4.3187756e-06,0.03377695,0.0059251874,2.2285626,0.08131213,3.6246707,-0.64828944,0.0,0.0,phosphorus_ratio
-0.017324002,0.03460632,-0.33541474,2.342916,-0.010348743,3.4564517,-1.25294,0.0,0.0,phosphorus_ratio
-0.0016917165,0.027394682,0.5154447,2.1234062,0.008455504,2.2006526,1.3333894,0.0,0.0,phosphorus_ratio
0.09430028,0.014130451,0.48101565,2.0358107,0.07654517,2.7535615,0.96142125,0.0,0.0,phosphorus_ratio
-0.048950445,0.014130451,0.5080168,2.1091251,-0.055931177,2.577238,1.2565448,0.0,0.0,phosphorus_ratio
-0.053445123,-0.040685177,-0.2669381,-1.9868515,-0.09416519,-3.1949034,-1.1813874,0.0,0.0,phosphorus_ratio
0.05007441,0.014130451,0.50810355,2.0402558,0.059441715,2.596041,1.2117447,0.0,0.0,phosphorus_ratio
-0.053445123,-0.040685177,-0.26486215,-2.0213926,-0.09416519,-3.1904774,-1.1876343,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-0.027304787,-0.043374255,-0.45455655,1.6640432,-0.063048914,-4.474307,-1.2182366,0.0,0.0,phosphorus_ratio
-0.056308087,-0.037917092,-0.15132636,-2.0208726,-0.09416519,-3.3509543,-1.1411184,0.0,0.0,phosphorus_ratio
0.11540916,0.013333607,0.004216747,1.8887466,0.072069176,3.2537575,1.1237717,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.5257665,2.0310402,0.072069176,2.6137035,1.1321263,0.0,0.0,phosphorus_ratio
-0.0007148681,0.013808645,-0.2179436,1.9829272,0.07654517,3.3377962,0.97642744,0.0,0.0,phosphorus_ratio
-0.004026836,0.014130451,0.49068007,2.120665,-0.05724919,2.8012283,0.99338186,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-0.054110512,-0.03942334,-0.22340567,-1.9961786,-0.09416519,-3.236348,-1.1747447,0.0,0.0,phosphorus_ratio
-0.013632431,-0.03709629,-0.12765558,-1.967576,0.09061594,-3.618483,-0.94572794,0.0,0.0,phosphorus_ratio
-0.010087744,0.03377695,0.0050420924,2.2586381,0.030799525,3.7236402,-0.6456641,0.0,0.0,phosphorus_ratio
0.068471305,0.014130451,0.49890515,2.0310402,0.072069176,2.5868423,1.2083328,0.0,0.0,phosphorus_ratio
-0.0315914,-0.014698975,0.37856516,-2.3137817,-0.024049113,3.1253252,2.1213229,0.0,0.0,phosphorus_ratio
-0.039515585,-0.036384124,-0.33792725,2.320436,-0.0683243,3.478272,-1.257842,0.0,0.0,phosphorus_ratio
0.090955116,0.014130451,0.48766324,2.0310402,0.072069176,2.5756001,1.2083328,0.0,0.0,phosphorus_ratio
-0.03591709,-0.040685177,-0.2660775,-1.9713538,0.052715883,-3.1951327,-1.1964875,0.0,0.0,phosphorus_ratio
-0.07772334,0.020657927,0.3522493,-2.2893147,-0.09237237,3.1137981,2.2065463,0.0,0.0,phosphorus_ratio
-0.034043532,-0.039548077,0.14153522,-1.8845719,-0.09493247,-4.4938025,-0.024525575,0.0,0.0,phosphorus_ratio
-0.053445123,-0.040685177,-0.26380768,-1.9878955,-0.09416519,-3.1907072,-1.1876701,0.0,0.0,phosphorus_ratio
-0.03165228,-0.014698975,0.3775495,-2.31278,-0.049783275,3.164009,2.0977163,0.0,0.0,phosphorus_ratio
-0.056308087,-0.037917092,-0.14566761,-1.999204,-0.09416519,-3.3560996,-1.1290141,0.0,0.0,phosphorus_ratio
-0.059746746,-0.03709629,-0.12084096,-2.0034578,-0.09580594,-3.5139453,-0.9813627,0.0,0.0,phosphorus_ratio
