section,check,passed,guideline_ref,detail
A_constants,sodium_2300_G2,True,KDOQI 2020 Guideline 5.1,Na=2300.0
A_constants,sodium_2300_G3a,True,KDOQI 2020 Guideline 5.1,Na=2300.0
A_constants,sodium_2300_G3b,True,KDOQI 2020 Guideline 5.1,Na=2300.0
A_constants,sodium_2300_G4,True,KDOQI 2020 Guideline 5.1,Na=2300.0
A_constants,protein_kdoqi_G2,True,KDOQI 2020 Table 11,protein_per_kg=0.8
A_constants,protein_kdoqi_G3a,True,KDOQI 2020 Table 11,protein_per_kg=0.6
A_constants,protein_kdoqi_G3b,True,KDOQI 2020 Table 11,protein_per_kg=0.6
A_constants,protein_kdoqi_G4,True,KDOQI 2020 Table 11,protein_per_kg=0.55
A_constants,potassium_monotone_by_stage,True,KDIGO stage severity + product KDOQI table,G2=3500.0 G3a/b=3000.0 G4=2500.0
A_constants,phosphorus_monotone_by_stage,True,KDIGO stage severity + product KDOQI table,G2=1000.0 G3=800.0 G4=700.0
A_constants,train_kdoqi_matches_backend_G2,True,clinical_constants.py source of truth,"train={'potassium': 3500.0, 'phosphorus': 1000.0, 'protein_per_kg': 0.8, 'sodium': 2300.0} backend={'potassium': 3500.0, 'phosphorus': 1000.0, 'protein_per_kg': 0.8, 'sodium': 2300.0}"
A_constants,train_kdoqi_matches_backend_G3a,True,clinical_constants.py source of truth,"train={'potassium': 3000.0, 'phosphorus': 800.0, 'protein_per_kg': 0.6, 'sodium': 2300.0} backend={'potassium': 3000.0, 'phosphorus': 800.0, 'protein_per_kg': 0.6, 'sodium': 2300.0}"
A_constants,train_kdoqi_matches_backend_G3b,True,clinical_constants.py source of truth,"train={'potassium': 3000.0, 'phosphorus': 800.0, 'protein_per_kg': 0.6, 'sodium': 2300.0} backend={'potassium': 3000.0, 'phosphorus': 800.0, 'protein_per_kg': 0.6, 'sodium': 2300.0}"
A_constants,train_kdoqi_matches_backend_G4,True,clinical_constants.py source of truth,"train={'potassium': 2500.0, 'phosphorus': 700.0, 'protein_per_kg': 0.55, 'sodium': 2300.0} backend={'potassium': 2500.0, 'phosphorus': 700.0, 'protein_per_kg': 0.55, 'sodium': 2300.0}"
A_constants,weights_match_backend,True,clinical_constants CLINICAL_SEVERITY_WEIGHTS,"train={'potassium': 0.35, 'phosphorus': 0.3, 'protein': 0.25, 'sodium': 0.1} backend={'potassium': 0.35, 'phosphorus': 0.3, 'protein': 0.25, 'sodium': 0.1}"
A_constants,weights_sum_to_one,True,author-derived severity weights,sum=0.9999999999999999
A_constants,weight_priority_K_gt_P_gt_pro_gt_Na,True,author-derived clinical priority (documented in clinical_constants),K=0.35 P=0.3 pro=0.25 Na=0.1
A_constants,thresholds_match_backend,True,clinical_constants SEVERITY_THRESHOLDS,"{'HIGH': 1.2, 'MODERATE': 0.7}"
A_constants,assign_label_matches_thresholds,True,SEVERITY_THRESHOLDS,boundaries 0.7 / 1.2
A_constants,occasion_frac_Breakfast,True,meal_planner.OCCASION_RULES,"OCCASION_RULES=(0.25, 0.25, 0.3, 0.25) train=(0.25, 0.25, 0.3, 0.25)"
A_constants,occasion_frac_Lunch,True,meal_planner.OCCASION_RULES,"OCCASION_RULES=(0.4, 0.4, 0.4, 0.4) train=(0.4, 0.4, 0.4, 0.4)"
A_constants,occasion_frac_Dinner,True,meal_planner.OCCASION_RULES,"OCCASION_RULES=(0.4, 0.4, 0.4, 0.4) train=(0.4, 0.4, 0.4, 0.4)"
A_constants,occasion_frac_Snack,True,meal_planner.OCCASION_RULES,"OCCASION_RULES=(0.15, 0.15, 0.1, 0.15) train=(0.15, 0.15, 0.1, 0.15)"
A_constants,egfr_range_G2,True,KDIGO 2024 Chapter 1 (product table),60–89
A_constants,egfr_range_G3a,True,KDIGO 2024 Chapter 1 (product table),45–59
A_constants,egfr_range_G3b,True,KDIGO 2024 Chapter 1 (product table),30–44
A_constants,egfr_range_G4,True,KDIGO 2024 Chapter 1 (product table),15–29
B_meal_caps,caps_G2_Breakfast,True,KDOQI daily × OCCASION_RULES,"{'potassium': 875.0, 'phosphorus': 250.0, 'protein_per_kg': 0.24, 'sodium': 575.0}"
B_meal_caps,caps_G2_Lunch,True,KDOQI daily × OCCASION_RULES,"{'potassium': 1400.0, 'phosphorus': 400.0, 'protein_per_kg': 0.32000000000000006, 'sodium': 920.0}"
B_meal_caps,caps_G2_Dinner,True,KDOQI daily × OCCASION_RULES,"{'potassium': 1400.0, 'phosphorus': 400.0, 'protein_per_kg': 0.32000000000000006, 'sodium': 920.0}"
B_meal_caps,caps_G2_Snack,True,KDOQI daily × OCCASION_RULES,"{'potassium': 525.0, 'phosphorus': 150.0, 'protein_per_kg': 0.08000000000000002, 'sodium': 345.0}"
B_meal_caps,caps_G3a_Breakfast,True,KDOQI daily × OCCASION_RULES,"{'potassium': 750.0, 'phosphorus': 200.0, 'protein_per_kg': 0.18, 'sodium': 575.0}"
