model,eval_type,meals_present,accuracy,precision,recall,f1_score,auc_roc,high_risk_sensitivity,pct_predicted_low
original,full_sequence,6,0.9071,0.9048,0.9071,0.9052,0.9825,0.936,
original,truncated,1,0.33879781420765026,,,0.1714731794357087,,,100.0
original,truncated,2,0.33879781420765026,,,0.1714731794357087,,,100.0
original,truncated,3,0.33879781420765026,,,0.1714731794357087,,,100.0
original,truncated,4,0.3633879781420765,,,0.2217741010657806,,,97.54
original,truncated,5,0.674863387978142,,,0.6662412807534436,,,61.75
augmented,full_sequence,6,0.8361,0.8581,0.8361,0.8393,0.9728,0.9655,
augmented,truncated,1,0.34153005464480873,,,0.17726153453771465,,,99.73
augmented,truncated,2,0.3524590163934426,,,0.21761743283102916,,,95.9
augmented,truncated,3,0.42896174863387976,,,0.3674291619983712,,,84.43
augmented,truncated,4,0.5218579234972678,,,0.4982274859851453,,,71.58
augmented,truncated,5,0.7240437158469946,,,0.7369521250257004,,,40.98
