name,accuracy,f1_macro,low_recall,mod_recall,high_recall,cv_mean,cv_std
RF + Class Weight MOD=3,0.8358,0.8215,0.6167,0.9026,0.8595,0.8077,0.028
RF + FE + CW(MOD=3),0.8358,0.8215,0.6167,0.9026,0.8595,0.8094,0.0278
RF + SMOTE + FE + CW(MOD=3),0.8597,0.8637,0.8333,0.8701,0.8595,,
XGBoost Weekly (base features),0.8328,0.8344,0.9833,0.7532,0.8595,0.8406,0.0128
RF + Feature Engineering,0.8299,0.8318,0.9833,0.7468,0.8595,0.8396,0.0145
RF + GridSearchCV,0.8299,0.8318,0.9833,0.7468,0.8595,0.8406,0.0155
RF + SMOTE,0.8299,0.8318,0.9833,0.7468,0.8595,,
RF + FE + GridSearch,0.8299,0.8318,0.9833,0.7468,0.8595,0.8406,0.0155
XGBoost + Feature Eng,0.8299,0.8318,0.9833,0.7468,0.8595,0.8411,0.0114
XGBoost + FE + GridSearch,0.8299,0.8318,0.9833,0.7468,0.8595,0.8418,0.0119
