candidate_id,is_best_estimator,rank_test_score,mean_test_score,std_test_score,mean_fit_time,std_fit_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params_json
1,True,1,1.0,0.0,0.1369991779327392,0.0117298972815279,1.0,1.0,0.0,300,1,7,0.01,0.3,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
2,False,1,1.0,0.0,0.1283895492553711,0.0161460884287548,0.8,1.0,0.5,300,1,5,0.01,0.3,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.3, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 300, ""reg_alpha"": 0.5, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
3,False,1,1.0,0.0,0.0465349197387695,0.0044934996157791,1.0,1.0,0.0,100,1,4,0.05,0.0,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
4,False,4,0.9986594376549366,0.0026811246901268,0.0556543350219726,0.0075836565373038,0.9,1.0,0.1,100,1,3,0.01,0.1,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.1, ""learning_rate"": 0.01, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
5,False,5,0.9984494442938466,0.0031011114123068,0.0550822257995605,0.0108729455066793,0.7,1.5,0.5,100,1,7,0.05,0.3,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.5, ""reg_lambda"": 1.5, ""subsample"": 0.7}"
6,False,5,0.9984494442938466,0.0031011114123068,0.1100618362426757,0.0520713418135576,1.0,2.0,0.1,200,1,6,0.05,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
7,False,5,0.9984494442938466,0.0031011114123068,0.0294846534729003,0.0057191123229464,1.0,1.0,0.1,100,1,3,0.2,0.2,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.2, ""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
8,False,8,0.9969303423848878,0.0061393152302243,0.0451466083526611,0.0052909373066014,1.0,1.0,0.1,200,5,7,0.1,0.2,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0.2, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}"
9,False,8,0.9969303423848878,0.0061393152302243,0.1004007339477539,0.0070342538337693,0.7,2.0,0.0,500,1,3,0.2,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 0.7}"
10,False,8,0.9969303423848878,0.0061393152302243,0.0525330543518066,0.0063962629119,0.9,2.0,0.0,200,1,5,0.1,0.1,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
11,False,8,0.9969303423848878,0.0061393152302243,0.1123444080352783,0.012787621402915,0.9,2.0,1.0,500,3,4,0.05,0.3,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.9}"
12,False,8,0.9969303423848878,0.0061393152302243,0.0831859111785888,0.0119286759095182,1.0,2.0,0.5,500,5,3,0.2,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
13,False,8,0.9969303423848878,0.0061393152302243,0.0318540096282959,0.0021496696356953,1.0,1.5,1.0,100,1,5,0.2,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.2, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 1.5, ""subsample"": 1.0}"
14,False,8,0.9969303423848878,0.0061393152302243,0.1255399227142334,0.0102053163079689,1.0,2.0,0.0,500,3,4,0.05,0.3,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
15,False,8,0.9969303423848878,0.0061393152302243,0.080445384979248,0.0107847717407037,0.8,2.0,0.0,200,1,6,0.05,0.3,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
16,False,8,0.9969303423848878,0.0061393152302243,0.0717157363891601,0.0096215665659137,0.8,1.0,0.1,200,1,7,0.1,0.1,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.1, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_weight"": 1, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
17,False,8,0.9969303423848878,0.0061393152302243,0.1262672424316406,0.0087451234134021,0.8,2.0,1.0,500,3,3,0.05,0.3,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
18,False,8,0.9969303423848878,0.0061393152302243,0.1208172798156738,0.013203084056344,0.9,1.5,0.5,500,5,4,0.05,0.3,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0.3, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 500, ""reg_alpha"": 0.5, ""reg_lambda"": 1.5, ""subsample"": 0.9}"
19,False,8,0.9969303423848878,0.0061393152302243,0.039470624923706,0.0057170097170632,0.9,1.5,0.0,200,5,6,0.2,0.0,0.8,"{""colsample_bytree"": 0.8, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1.5, ""subsample"": 0.9}"
20,False,8,0.9969303423848878,0.0061393152302243,0.0448135375976562,0.0081309847301542,1.0,2.0,0.0,200,3,7,0.2,0.0,0.9,"{""colsample_bytree"": 0.9, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 2.0, ""subsample"": 1.0}"
21,False,8,0.9969303423848878,0.0061393152302243,0.0421903610229492,0.0045895109035539,0.9,1.5,0.1,200,5,7,0.2,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.2, ""max_depth"": 7, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.5, ""subsample"": 0.9}"
22,False,8,0.9969303423848878,0.0061393152302243,0.116355276107788,0.0062441932314723,0.8,2.0,1.0,500,3,7,0.05,0.2,1.0,"{""colsample_bytree"": 1.0, ""gamma"": 0.2, ""learning_rate"": 0.05, ""max_depth"": 7, ""min_child_weight"": 3, ""n_estimators"": 500, ""reg_alpha"": 1.0, ""reg_lambda"": 2.0, ""subsample"": 0.8}"
23,False,8,0.9969303423848878,0.0061393152302243,0.0583263874053955,0.0077243522217482,0.9,1.0,0.0,200,5,4,0.05,0.0,0.7,"{""colsample_bytree"": 0.7, ""gamma"": 0, ""learning_rate"": 0.05, ""max_depth"": 4, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0, ""reg_lambda"": 1.0, ""subsample"": 0.9}"
